id,state,county,sfips,unemployrate
1001,Alabama,Autauga,1,0.097
1003,Alabama,Baldwin,1,0.091
1005,Alabama,Barbour,1,0.134
1007,Alabama,Bibb,1,0.121
1009,Alabama,Blount,1,0.099
1011,Alabama,Bullock,1,0.164
1013,Alabama,Butler,1,0.167
1015,Alabama,Calhoun,1,0.108
1017,Alabama,Chambers,1,0.186
1019,Alabama,Cherokee,1,0.118
1021,Alabama,Chilton,1,0.099
1023,Alabama,Choctaw,1,0.127
1025,Alabama,Clarke,1,0.17
1027,Alabama,Clay,1,0.159
1029,Alabama,Cleburne,1,0.104
1031,Alabama,Coffee,1,0.085
1033,Alabama,Colbert,1,0.114
1035,Alabama,Conecuh,1,0.195
1037,Alabama,Coosa,1,0.14
1039,Alabama,Covington,1,0.101
1041,Alabama,Crenshaw,1,0.097
1043,Alabama,Cullman,1,0.096
1045,Alabama,Dale,1,0.093
1047,Alabama,Dallas,1,0.211
1049,Alabama,De Kalb,1,0.143
1051,Alabama,Elmore,1,0.09
1053,Alabama,Escambia,1,0.129
1055,Alabama,Etowah,1,0.107
1057,Alabama,Fayette,1,0.128
1059,Alabama,Franklin,1,0.123
1061,Alabama,Geneva,1,0.1
1063,Alabama,Greene,1,0.147
1065,Alabama,Hale,1,0.127
1067,Alabama,Henry,1,0.099
1069,Alabama,Houston,1,0.089
1071,Alabama,Jackson,1,0.118
1073,Alabama,Jefferson,1,0.107
1075,Alabama,Lamar,1,0.148
1077,Alabama,Lauderdale,1,0.105
1079,Alabama,Lawrence,1,0.136
1081,Alabama,Lee,1,0.086
1083,Alabama,Limestone,1,0.093
1085,Alabama,Lowndes,1,0.185
1087,Alabama,Macon,1,0.114
1089,Alabama,Madison,1,0.075
1091,Alabama,Marengo,1,0.148
1093,Alabama,Marion,1,0.152
1095,Alabama,Marshall,1,0.092
1097,Alabama,Mobile,1,0.111
1099,Alabama,Monroe,1,0.187
1101,Alabama,Montgomery,1,0.102
1103,Alabama,Morgan,1,0.104
1105,Alabama,Perry,1,0.198
1107,Alabama,Pickens,1,0.13
1109,Alabama,Pike,1,0.087
1111,Alabama,Randolph,1,0.151
1113,Alabama,Russell,1,0.126
1115,Alabama,St Clair,1,0.107
1117,Alabama,Shelby,1,0.076
1119,Alabama,Sumter,1,0.139
1121,Alabama,Talladega,1,0.136
1123,Alabama,Tallapoosa,1,0.137
1125,Alabama,Tuscaloosa,1,0.09
1127,Alabama,Walker,1,0.119
1129,Alabama,Washington,1,0.151
1131,Alabama,Wilcox,1,0.256
1133,Alabama,Winston,1,0.175
2013,Alaska,Aleutians East,2,0.101
2016,Alaska,Aleutians West,2,0.084
2020,Alaska,Anchorage,2,0.07
2050,Alaska,Bethel,2,0.148
2060,Alaska,Bristol Bay,2,0.036
2068,Alaska,Denali,2,0.034
2070,Alaska,Dillingham,2,0.084
2090,Alaska,Fairbanks North Star,2,0.069
2100,Alaska,Haines,2,0.062
2110,Alaska,Juneau,2,0.057
2122,Alaska,Kenai Peninsula,2,0.097
2130,Alaska,Ketchikan Gateway,2,0.061
2150,Alaska,Kodiak Island,2,0.066
2164,Alaska,Lake and Peninsula,2,0.059
2170,Alaska,Matanuska Susitna,2,0.088
2180,Alaska,Nome,2,0.121
2185,Alaska,North Slope,2,0.057
2188,Alaska,Northwest Arctic,2,0.132
2201,Alaska,Prince Wales Ketchikan,2,0.136
