id,state,county,statefips,countyfips,unemployrate
1001,Alabama,Autauga,1,1,0.097
1003,Alabama,Baldwin,1,3,0.091
1005,Alabama,Barbour,1,5,0.134
1007,Alabama,Bibb,1,7,0.121
1009,Alabama,Blount,1,9,0.099
1011,Alabama,Bullock,1,11,0.164
1013,Alabama,Butler,1,13,0.167
1015,Alabama,Calhoun,1,15,0.108
1017,Alabama,Chambers,1,17,0.186
1019,Alabama,Cherokee,1,19,0.118
1021,Alabama,Chilton,1,21,0.099
1023,Alabama,Choctaw,1,23,0.127
1025,Alabama,Clarke,1,25,0.17
1027,Alabama,Clay,1,27,0.159
1029,Alabama,Cleburne,1,29,0.104
1031,Alabama,Coffee,1,31,0.085
1033,Alabama,Colbert,1,33,0.114
1035,Alabama,Conecuh,1,35,0.195
1037,Alabama,Coosa,1,37,0.14
1039,Alabama,Covington,1,39,0.101
1041,Alabama,Crenshaw,1,41,0.097
1043,Alabama,Cullman,1,43,0.096
1045,Alabama,Dale,1,45,0.093
1047,Alabama,Dallas,1,47,0.211
1049,Alabama,De Kalb,1,49,0.143
1051,Alabama,Elmore,1,51,0.09
1053,Alabama,Escambia,1,53,0.129
1055,Alabama,Etowah,1,55,0.107
1057,Alabama,Fayette,1,57,0.128
1059,Alabama,Franklin,1,59,0.123
1061,Alabama,Geneva,1,61,0.1
1063,Alabama,Greene,1,63,0.147
1065,Alabama,Hale,1,65,0.127
1067,Alabama,Henry,1,67,0.099
1069,Alabama,Houston,1,69,0.089
1071,Alabama,Jackson,1,71,0.118
1073,Alabama,Jefferson,1,73,0.107
1075,Alabama,Lamar,1,75,0.148
1077,Alabama,Lauderdale,1,77,0.105
1079,Alabama,Lawrence,1,79,0.136
1081,Alabama,Lee,1,81,0.086
1083,Alabama,Limestone,1,83,0.093
1085,Alabama,Lowndes,1,85,0.185
1087,Alabama,Macon,1,87,0.114
1089,Alabama,Madison,1,89,0.075
1091,Alabama,Marengo,1,91,0.148
1093,Alabama,Marion,1,93,0.152
1095,Alabama,Marshall,1,95,0.092
1097,Alabama,Mobile,1,97,0.111
1099,Alabama,Monroe,1,99,0.187
1101,Alabama,Montgomery,1,101,0.102
1103,Alabama,Morgan,1,103,0.104
1105,Alabama,Perry,1,105,0.198
1107,Alabama,Pickens,1,107,0.13
1109,Alabama,Pike,1,109,0.087
1111,Alabama,Randolph,1,111,0.151
1113,Alabama,Russell,1,113,0.126
1115,Alabama,St Clair,1,115,0.107
1117,Alabama,Shelby,1,117,0.076
1119,Alabama,Sumter,1,119,0.139
1121,Alabama,Talladega,1,121,0.136
1123,Alabama,Tallapoosa,1,123,0.137
1125,Alabama,Tuscaloosa,1,125,0.09
1127,Alabama,Walker,1,127,0.119
1129,Alabama,Washington,1,129,0.151
1131,Alabama,Wilcox,1,131,0.256
1133,Alabama,Winston,1,133,0.175
2013,Alaska,Aleutians East,2,13,0.101
2016,Alaska,Aleutians West,2,16,0.084
2020,Alaska,Anchorage,2,20,0.07
2050,Alaska,Bethel,2,50,0.148
2060,Alaska,Bristol Bay,2,60,0.036
2068,Alaska,Denali,2,68,0.034
2070,Alaska,Dillingham,2,70,0.084
2090,Alaska,Fairbanks North Star,2,90,0.069
2100,Alaska,Haines,2,100,0.062
2110,Alaska,Juneau,2,110,0.057
2122,Alaska,Kenai Peninsula,2,122,0.097
2130,Alaska,Ketchikan Gateway,2,130,0.061
2150,Alaska,Kodiak Island,2,150,0.066
2164,Alaska,Lake and Peninsula,2,164,0.059
2170,Alaska,Matanuska Susitna,2,170,0.088
2180,Alaska,Nome,2,180,0.121
2185,Alaska,North Slope,2,185,0.057
2188,Alaska,Northwest Arctic,2,188,0.132
2201,Alaska,Prince Wales Ketchikan,2,201,0.136
2220,Alaska,Sitka,2,220,0.059
2232,Alaska,Skagway Hoonah Angoon,2,232,0.073
2240,Alaska,Southeast Fairbanks,2,240,0.081
2261,Alaska,Valdez Cordova,2,261,0.064
2270,Alaska,Wade Hampton,2,270,0.204
2280,Alaska,Wrangell Petersburg,2,280,0.098
2282,Alaska,Yakutat,2,282,0.063
2290,Alaska,Yukon Koyukuk,2,290,0.136
4001,Arizona,Apache,4,1,0.148
4003,Arizona,Cochise,4,3,0.074
4005,Arizona,Coconino,4,5,0.077
4007,Arizona,Gila,4,7,0.109
4009,Arizona,Graham,4,9,0.144
4011,Arizona,Greenlee,4,11,0.215
4012,Arizona,La Paz,4,12,0.089
4013,Arizona,Maricopa,4,13,0.085
4015,Arizona,Mohave,4,15,0.102
4017,Arizona,Navajo,4,17,0.142
4019,Arizona,Pima,4,19,0.084
4021,Arizona,Pinal,4,21,0.118
4023,Arizona,Santa Cruz,4,23,0.172
4025,Arizona,Yavapai,4,25,0.095
4027,Arizona,Yuma,4,27,0.242
5001,Arkansas,Arkansas,5,1,0.143
5003,Arkansas,Ashley,5,3,0.091
5005,Arkansas,Baxter,5,5,0.082
5007,Arkansas,Benton,5,7,0.053
5009,Arkansas,Boone,5,9,0.064
5011,Arkansas,Bradley,5,11,0.078
5013,Arkansas,Calhoun,5,13,0.062
